2020-11-04 18:48:11,801 INFO Swapped to USDT at 0.99605, balances: {'base': 500.19146999999975, 'quote': 499.8092958799998}
2020-11-04 18:48:16,712 INFO Swapped to USDT at 0.99605, balances: {'base': 500.21061699999973, 'quote': 499.7902254679998}
2020-11-04 20:26:20,956 INFO Swapped to USDT at 0.99615, balances: {'base': 567.6955499999997, 'quote': 432.5745344086998}
2020-11-04 20:26:25,580 INFO Swapped to USDT at 0.99615, balances: {'base': 635.1804829999996, 'quote': 365.35884334939976}
2020-11-04 20:26:29,268 INFO Swapped to USDT at 0.99615, balances: {'base': 702.6654159999996, 'quote': 298.14315229009975}
2020-11-04 20:27:25,016 INFO Swapped to USDT at 0.99605, balances: {'base': 708.2096749999996, 'quote': 292.62107032609975}
2020-11-04 20:27:29,254 INFO Swapped to USDT at 0.99605, balances: {'base': 711.7092569999996, 'quote': 289.13548665409974}
2020-11-04 21:32:19,596 INFO Swapped to USDT at 0.99655, balances: {'base': 916.9303449999996, 'quote': 84.73360604929974}
2020-11-04 23:23:34,505 INFO Swapped to USDT at 0.9989, balances: {'base': 918.1580879999997, 'quote': 83.50880963249973}
2020-11-04 23:23:41,265 INFO Swapped to USDT at 0.99875, balances: {'base': 918.7593019999997, 'quote': 82.90903854609974}
2020-11-04 23:23:47,694 INFO Swapped to USDT at 0.99875, balances: {'base': 919.3605159999997, 'quote': 82.30926745969974}
2020-11-04 23:24:14,399 INFO Swapped to USDT at 0.99875, balances: {'base': 919.9617299999998, 'quote': 81.70865467369974}
2020-11-04 23:24:42,636 INFO Swapped to USDT at 0.99865, balances: {'base': 986.4281769999998, 'quote': 15.33722126969974}
2020-11-04 23:24:48,355 INFO Swapped to USDT at 0.99865, balances: {'base': 1001.7853626109938, 'quote': 0.0015357185611009072}
2020-11-05 09:57:24,477 INFO Market initialised, balances: {'base': 500, 'quote': 500}
2020-11-05 10:50:14,138 INFO Swapped to USDT at 0.9971, balances: {'base': 622.26473, 'quote': 378.1333201559}
2020-11-05 10:50:19,347 INFO Swapped to USDT at 0.9971, balances: {'base': 744.52946, 'quote': 256.26664031179996}
2020-11-05 10:50:23,328 INFO Swapped to USDT at 0.9971, balances: {'base': 866.79419, 'quote': 134.39996046769994}
2020-11-05 10:50:27,844 INFO Swapped to USDT at 0.9971, balances: {'base': 989.05892, 'quote': 12.533280623599936}
2020-11-05 10:50:31,803 INFO Swapped to USDT at 0.9971, balances: {'base': 1001.6286528488615, 'quote': 0.0037709198546593825}
